[Symbol],[PriceDate],sales_rev_turn
DLPH,2010-03-31,3410.0
DLPH,2010-06-30,3446.0
DLPH,2010-09-30,3309.0
DLPH,2010-12-31,3652.0
DLPH,2011-03-31,3997.0
DLPH,2011-06-30,4213.0
DLPH,2011-09-30,3931.0
DLPH,2011-12-31,3900.0
DLPH,2012-03-31,4092.0
DLPH,2012-06-30,3997.0
DLPH,2012-09-30,3663.0
DLPH,2012-12-31,3767.0
DLPH,2013-03-31,4024.0
DLPH,2013-06-30,4240.0
DLPH,2013-09-30,4017.0
DLPH,2013-12-31,4182.0
DLPH,2014-03-31,3897.0
DLPH,2014-06-30,4062.0
DLPH,2014-09-30,3762.0
DLPH,2014-12-31,3778.0
DLPH,2015-03-31,3797.0
DLPH,2015-06-30,3858.0
DLPH,2015-09-30,3631.0
DLPH,2015-12-31,3879.0
DLPH,2016-03-31,4051.0
DLPH,2016-06-30,4206.0
DLPH,2016-09-30,4091.0
DLPH,2016-12-31,4313.0
DLPH,2017-03-31,4292.0
DLPH,2017-06-30,4318.0
SPR,2010-04-01,1043.3
SPR,2010-07-01,1056.0
SPR,2010-09-30,1002.0
SPR,2010-12-31,1071.1
SPR,2011-03-31,1049.6
SPR,2011-06-30,1465.6
SPR,2011-09-29,1129.7
SPR,2011-12-31,1218.9
SPR,2012-03-29,1265.8
SPR,2012-06-28,1341.0
SPR,2012-09-27,1365.3
SPR,2012-12-31,1425.6
SPR,2013-03-28,1442.2
SPR,2013-06-27,1520.7
SPR,2013-09-26,1503.7
SPR,2013-12-31,1494.4
SPR,2014-04-03,1728.5
SPR,2014-07-03,1803.3
SPR,2014-10-02,1693.0
SPR,2014-12-31,1574.4
SPR,2015-04-02,1742.2
SPR,2015-07-02,1698.7
SPR,2015-10-01,1593.6
SPR,2015-12-31,1609.4
SPR,2016-03-31,1681.6
SPR,2016-06-30,1829.9
SPR,2016-09-29,1711.4
SPR,2016-12-31,1570.0
SPR,2017-03-30,1694.1
SPR,2017-06-29,1826.1
CRS,2010-03-31,336.9
CRS,2010-06-30,364.2
CRS,2010-09-30,351.7
CRS,2010-12-31,375.6
CRS,2011-03-31,464.2
CRS,2011-06-30,483.6
CRS,2011-09-30,414.1
CRS,2011-12-31,431.1
CRS,2012-03-31,539.9
CRS,2012-06-30,643.7
CRS,2012-09-30,544.9
CRS,2012-12-31,533.5
CRS,2013-03-31,581.4
CRS,2013-06-30,611.8
CRS,2013-09-30,498.6
CRS,2013-12-31,503.5
CRS,2014-03-31,566.3
CRS,2014-06-30,604.6
CRS,2014-09-30,549.8
CRS,2014-12-31,548.4
CRS,2015-03-31,570.6
CRS,2015-06-30,558.0
CRS,2015-09-30,455.6
CRS,2015-12-31,443.8
CRS,2016-03-31,456.3
CRS,2016-06-30,457.7
CRS,2016-09-30,389.0
CRS,2016-12-31,427.4
CRS,2017-03-31,473.6
CRS,2017-06-30,507.7
AMAT,2010-01-31,1849.0
AMAT,2010-05-02,2296.0
AMAT,2010-08-01,2518.0
AMAT,2010-10-31,2886.0
AMAT,2011-01-30,2686.0
AMAT,2011-05-01,2862.0
AMAT,2011-07-31,2787.0
AMAT,2011-10-30,2182.0
AMAT,2012-01-29,2189.0
AMAT,2012-04-29,2541.0
AMAT,2012-07-29,2343.0
AMAT,2012-10-28,1646.0
AMAT,2013-01-27,1573.0
AMAT,2013-04-28,1973.0
AMAT,2013-07-28,1975.0
AMAT,2013-10-27,1988.0
AMAT,2014-01-26,2190.0
AMAT,2014-04-27,2353.0
AMAT,2014-07-27,2265.0
AMAT,2014-10-26,2264.0
AMAT,2015-01-25,2359.0
AMAT,2015-04-26,2442.0
AMAT,2015-07-26,2490.0
AMAT,2015-10-25,2368.0
AMAT,2016-01-31,2257.0
AMAT,2016-05-01,2450.0
AMAT,2016-07-31,2821.0
AMAT,2016-10-30,3297.0
AMAT,2017-01-29,3278.0
AMAT,2017-04-30,3546.0
AMAT,2017-07-30,3744.0
SHLM,2010-02-28,331.023
SHLM,2010-05-31,420.335
SHLM,2010-08-31,476.224
SHLM,2010-11-30,495.383
SHLM,2011-02-28,508.343
SHLM,2011-05-31,611.142
SHLM,2011-08-31,578.087
SHLM,2011-11-30,517.289
SHLM,2012-02-29,495.911
SHLM,2012-05-31,563.071
SHLM,2012-08-31,517.684
SHLM,2012-11-30,532.085
SHLM,2013-02-28,515.44
SHLM,2013-05-31,548.589
SHLM,2013-08-31,537.288
SHLM,2013-11-30,585.397
SHLM,2014-02-28,588.508
SHLM,2014-05-31,645.735
SHLM,2014-08-31,627.358
SHLM,2014-11-30,615.053
SHLM,2015-02-28,542.295
SHLM,2015-05-31,560.858
SHLM,2015-08-31,674.019
SHLM,2015-11-30,649.219
SHLM,2016-02-29,591.761
SHLM,2016-05-31,650.439
SHLM,2016-08-31,604.586
SHLM,2016-11-30,600.0
SHLM,2017-02-28,568.678
SHLM,2017-05-31,645.795
EIGI,2012-03-31,41.293
EIGI,2012-06-30,50.475
EIGI,2012-09-30,83.353
EIGI,2012-12-31,117.035
EIGI,2013-03-31,122.741
EIGI,2013-06-30,128.222
EIGI,2013-09-30,132.913
EIGI,2013-12-31,136.42
EIGI,2014-03-31,145.75
EIGI,2014-06-30,151.992
EIGI,2014-09-30,160.167
EIGI,2014-12-31,171.936
EIGI,2015-03-31,177.318
EIGI,2015-06-30,182.431
EIGI,2015-09-30,188.523
EIGI,2015-12-31,193.043
EIGI,2016-03-31,237.113
EIGI,2016-06-30,290.713
EIGI,2016-09-30,291.193
EIGI,2016-12-31,292.123
EIGI,2017-03-31,295.137
EIGI,2017-06-30,292.258
AA,2010-03-31,4887.0
AA,2010-06-30,5187.0
AA,2010-09-30,5287.0
AA,2010-12-31,5652.0
AA,2011-03-31,5958.0
AA,2011-06-30,6585.0
AA,2011-09-30,6419.0
AA,2011-12-31,5989.0
AA,2012-03-31,6006.0
AA,2012-06-30,5963.0
AA,2012-09-30,5833.0
AA,2012-12-31,5898.0
AA,2013-03-31,5833.0
AA,2013-06-30,5849.0
AA,2013-09-30,5765.0
AA,2013-12-31,5585.0
AA,2014-03-31,5454.0
AA,2014-06-30,5836.0
AA,2014-09-30,6239.0
AA,2014-12-31,6377.0
AA,2015-03-31,5819.0
AA,2015-06-30,5897.0
AA,2015-09-30,5573.0
AA,2015-12-31,2451.0
AA,2016-03-31,2129.0
AA,2016-06-30,2323.0
AA,2016-09-30,2329.0
AA,2016-12-31,2537.0
AA,2017-03-31,2655.0
AA,2017-06-30,2859.0
UTHR,2010-03-31,128.88
UTHR,2010-06-30,134.721
UTHR,2010-09-30,168.575
UTHR,2010-12-31,163.689
UTHR,2011-03-31,162.512
UTHR,2011-06-30,183.751
UTHR,2011-09-30,201.742
UTHR,2011-12-31,195.178
UTHR,2012-03-31,204.214
UTHR,2012-06-30,225.577
UTHR,2012-09-30,242.468
UTHR,2012-12-31,243.817
UTHR,2013-03-31,245.136
UTHR,2013-06-30,280.606
UTHR,2013-09-30,302.225
UTHR,2013-12-31,289.017
UTHR,2014-03-31,289.403
UTHR,2014-06-30,322.802
UTHR,2014-09-30,329.95
UTHR,2014-12-31,346.363
UTHR,2015-03-31,327.504
UTHR,2015-06-30,347.161
UTHR,2015-09-30,386.221
UTHR,2015-12-31,404.875
UTHR,2016-03-31,369.0
UTHR,2016-06-30,412.6
UTHR,2016-09-30,408.2
UTHR,2016-12-31,409.0
UTHR,2017-03-31,370.5
UTHR,2017-06-30,444.6
AXS,2010-03-31,817.613
AXS,2010-06-30,842.447
AXS,2010-09-30,948.088
AXS,2010-12-31,943.324
AXS,2011-03-31,929.763
AXS,2011-06-30,977.635
AXS,2011-09-30,948.101
AXS,2011-12-31,945.728
AXS,2012-03-31,977.507
AXS,2012-06-30,955.756
AXS,2012-09-30,1017.841
AXS,2012-12-31,975.458
AXS,2013-03-31,1028.02
AXS,2013-06-30,1045.655
AXS,2013-09-30,1044.688
AXS,2013-12-31,1078.0
AXS,2014-03-31,1042.395
AXS,2014-06-30,1150.211
AXS,2014-09-30,1117.85
AXS,2014-12-31,1036.073
AXS,2015-03-31,961.283
AXS,2015-06-30,1022.131
AXS,2015-09-30,1176.227
AXS,2015-12-31,970.668
AXS,2016-03-31,884.793
AXS,2016-06-30,1058.838
AXS,2016-09-30,1062.487
AXS,2016-12-31,999.539
AXS,2017-03-31,1008.534
AXS,2017-06-30,1100.706
ADSK,2010-01-31,456.1
ADSK,2010-04-30,474.6
ADSK,2010-07-31,472.8
ADSK,2010-10-31,476.7
ADSK,2011-01-31,527.7
ADSK,2011-04-30,528.3
ADSK,2011-07-31,546.3
ADSK,2011-10-31,548.6
ADSK,2012-01-31,592.4
ADSK,2012-04-30,588.6
ADSK,2012-07-31,568.7
ADSK,2012-10-31,548.0
ADSK,2013-01-31,606.9
ADSK,2013-04-30,570.4
ADSK,2013-07-31,561.7
ADSK,2013-10-31,555.2
ADSK,2014-01-31,586.6
ADSK,2014-04-30,592.5
ADSK,2014-07-31,637.1
ADSK,2014-10-31,618.0
ADSK,2015-01-31,664.6
ADSK,2015-04-30,646.5
ADSK,2015-07-31,609.5
ADSK,2015-10-31,599.8
ADSK,2016-01-31,648.3
ADSK,2016-04-30,511.9
ADSK,2016-07-31,550.7
ADSK,2016-10-31,489.6
ADSK,2017-01-31,478.8
ADSK,2017-04-30,485.7
ADSK,2017-07-31,501.8
SYK,2010-03-31,1799.1
SYK,2010-06-30,1758.2
SYK,2010-09-30,1767.6
SYK,2010-12-31,1995.1
SYK,2011-03-31,2015.0
SYK,2011-06-30,2046.0
SYK,2011-09-30,2031.0
SYK,2011-12-31,2215.0
SYK,2012-03-31,2161.0
SYK,2012-06-30,2106.0
SYK,2012-09-30,2052.0
SYK,2012-12-31,2337.0
SYK,2013-03-31,2190.0
SYK,2013-06-30,2212.0
SYK,2013-09-30,2151.0
SYK,2013-12-31,2468.0
SYK,2014-03-31,2305.0
SYK,2014-06-30,2363.0
SYK,2014-09-30,2389.0
SYK,2014-12-31,2618.0
SYK,2015-03-31,2379.0
SYK,2015-06-30,2432.0
SYK,2015-09-30,2420.0
SYK,2015-12-31,2715.0
SYK,2016-03-31,2495.0
SYK,2016-06-30,2840.0
SYK,2016-09-30,2833.0
SYK,2016-12-31,3157.0
SYK,2017-03-31,2955.0
SYK,2017-06-30,3012.0
ANSS,2010-03-31,136.053
ANSS,2010-06-30,137.767
ANSS,2010-09-30,139.843
ANSS,2010-12-31,166.573
ANSS,2011-03-31,158.047
ANSS,2011-06-30,162.258
ANSS,2011-09-30,172.935
ANSS,2011-12-31,198.209
ANSS,2012-03-31,185.345
ANSS,2012-06-30,195.016
ANSS,2012-09-30,196.909
ANSS,2012-12-31,220.748
ANSS,2013-03-31,197.732
ANSS,2013-06-30,214.85
ANSS,2013-09-30,212.658
ANSS,2013-12-31,236.02
ANSS,2014-03-31,215.271
ANSS,2014-06-30,232.375
ANSS,2014-09-30,234.0
ANSS,2014-12-31,254.375
ANSS,2015-03-31,217.781
ANSS,2015-06-30,235.485
ANSS,2015-09-30,237.84
ANSS,2015-12-31,251.647
ANSS,2016-03-31,225.906
ANSS,2016-06-30,246.069
ANSS,2016-09-30,245.862
ANSS,2016-12-31,270.628
ANSS,2017-03-31,253.405
ANSS,2017-06-30,263.924
AJRD,2010-02-28,186.8
AJRD,2010-05-31,234.1
AJRD,2010-08-31,210.7
AJRD,2010-11-30,226.3
AJRD,2011-02-28,209.8
AJRD,2011-05-31,229.9
AJRD,2011-08-31,226.2
AJRD,2011-11-30,252.2
AJRD,2012-02-29,201.9
AJRD,2012-05-31,249.9
AJRD,2012-08-31,244.9
AJRD,2012-11-30,298.2
AJRD,2013-02-28,243.7
AJRD,2013-05-31,286.6
AJRD,2013-08-31,367.5
AJRD,2013-11-30,485.3
AJRD,2014-02-28,332.1
AJRD,2014-05-31,404.5
AJRD,2014-08-31,421.2
AJRD,2014-11-30,443.6
AJRD,2015-02-28,318.6
AJRD,2015-05-31,456.9
AJRD,2015-08-31,441.0
AJRD,2015-11-30,486.5
AJRD,2016-03-31,356.9
AJRD,2016-06-30,408.4
AJRD,2016-09-30,463.8
AJRD,2016-12-31,532.2
AJRD,2017-03-31,405.3
AJRD,2017-06-30,459.6
XONE,2011-12-31,2.7184
XONE,2012-03-31,2.722
XONE,2012-06-30,4.676
XONE,2012-09-30,8.515
XONE,2012-12-31,12.744
XONE,2013-03-31,7.934
XONE,2013-06-30,9.23
XONE,2013-09-30,11.621
XONE,2013-12-31,10.695
XONE,2014-03-31,7.285
XONE,2014-06-30,11.201
XONE,2014-09-30,9.649000000000001
XONE,2014-12-31,15.765
XONE,2015-03-31,6.793
XONE,2015-06-30,8.498
XONE,2015-09-30,8.864
XONE,2015-12-31,16.198
XONE,2016-03-31,8.414
XONE,2016-06-30,11.755
XONE,2016-09-30,12.988
XONE,2016-12-31,14.631
XONE,2017-03-31,10.869
XONE,2017-06-30,10.799
SSYS,2010-03-31,27.9941
SSYS,2010-06-30,30.0595
SSYS,2010-09-30,30.2585
SSYS,2010-12-31,33.9694
SSYS,2011-03-31,34.5781
SSYS,2011-06-30,37.5549
SSYS,2011-09-30,39.953
SSYS,2011-12-31,43.5724
SSYS,2012-03-31,44.9641
SSYS,2012-06-30,49.4054
SSYS,2012-09-30,49.7235
SSYS,2012-12-31,71.151
SSYS,2013-03-31,97.207
SSYS,2013-06-30,106.485
SSYS,2013-09-30,125.626
SSYS,2013-12-31,155.085
SSYS,2014-03-31,150.941
SSYS,2014-06-30,178.465
SSYS,2014-09-30,203.61
SSYS,2014-12-31,217.112
SSYS,2015-03-31,172.731
SSYS,2015-06-30,182.322
SSYS,2015-09-30,167.58
SSYS,2015-12-31,173.362
SSYS,2016-03-31,167.906
SSYS,2016-06-30,172.073
SSYS,2016-09-30,157.176
SSYS,2016-12-31,175.303
SSYS,2017-03-31,163.162
SSYS,2017-06-30,169.99
DDD,2010-03-31,31.627
DDD,2010-06-30,35.144
DDD,2010-09-30,41.503
DDD,2010-12-31,51.595
DDD,2011-03-31,47.896
DDD,2011-06-30,55.128
DDD,2011-09-30,57.538
DDD,2011-12-31,69.86
DDD,2012-03-31,77.92
DDD,2012-06-30,83.61
DDD,2012-09-30,90.532
DDD,2012-12-31,101.571
DDD,2013-03-31,102.079
DDD,2013-06-30,120.787
DDD,2013-09-30,135.717
DDD,2013-12-31,154.817
DDD,2014-03-31,147.758
DDD,2014-06-30,151.512
DDD,2014-09-30,166.944
DDD,2014-12-31,187.438
DDD,2015-03-31,160.722
DDD,2015-06-30,170.504
DDD,2015-09-30,151.574
DDD,2015-12-31,183.363
DDD,2016-03-31,152.555
DDD,2016-06-30,158.111
DDD,2016-09-30,156.362
DDD,2016-12-31,165.937
DDD,2017-03-31,156.431
DDD,2017-06-30,159.467
OA,2010-01-03,1141.529
OA,2010-03-31,1249.039
OA,2010-07-04,1202.151
OA,2010-10-03,1209.235
OA,2011-01-02,1129.29
OA,2011-03-31,1301.588
OA,2011-07-03,1075.255
OA,2011-10-02,1109.418
OA,2012-01-01,1117.484
OA,2012-03-31,1311.242
OA,2012-07-01,1082.301
OA,2012-09-30,1069.787
OA,2012-12-30,1056.182
OA,2013-03-31,1153.875
OA,2014-03-31,1345.6
OA,2014-06-29,1275.391
OA,2014-09-28,1273.249
OA,2014-12-28,1251.378
OA,2015-03-31,969.539
OA,2015-07-05,1103.578
OA,2015-10-04,1143.246
OA,2015-12-31,1137.0
OA,2016-04-03,1056.0
OA,2016-07-03,1083.345
OA,2016-10-02,1043.702
OA,2016-12-31,1262.999
OA,2017-03-31,1085.0
OA,2017-07-02,1115.0
ZBH,2010-03-31,1062.8
ZBH,2010-06-30,1057.7
ZBH,2010-09-30,965.0
ZBH,2010-12-31,1134.7
ZBH,2011-03-31,1115.6
ZBH,2011-06-30,1137.4
ZBH,2011-09-30,1031.5
ZBH,2011-12-31,1167.3
ZBH,2012-03-31,1140.7
ZBH,2012-06-30,1125.0
ZBH,2012-09-30,1025.5
ZBH,2012-12-31,1180.5
ZBH,2013-03-31,1138.9
ZBH,2013-06-30,1169.5
ZBH,2013-09-30,1074.3
ZBH,2013-12-31,1240.7
ZBH,2014-03-31,1161.5
ZBH,2014-06-30,1182.9
ZBH,2014-09-30,1106.0
ZBH,2014-12-31,1222.9
ZBH,2015-03-31,1134.4
ZBH,2015-06-30,1167.6
ZBH,2015-09-30,1762.2
ZBH,2015-12-31,1933.6
ZBH,2016-03-31,1904.0
ZBH,2016-06-30,1934.0
ZBH,2016-09-30,1832.8
ZBH,2016-12-31,2013.1
ZBH,2017-03-31,1977.3
ZBH,2017-06-30,1954.4
CFMS,2014-03-31,10.799
CFMS,2015-03-31,14.7
CFMS,2015-06-30,19.222
CFMS,2015-09-30,13.894
CFMS,2015-12-31,19.071
CFMS,2016-03-31,20.25
CFMS,2016-06-30,19.333
CFMS,2016-09-30,18.643
CFMS,2016-12-31,21.673000000000002
CFMS,2017-03-31,20.455
CFMS,2017-06-30,18.484
TSLA,2010-03-31,20.812
TSLA,2010-06-30,28.405
TSLA,2010-09-30,31.241
TSLA,2010-12-31,36.286
TSLA,2011-03-31,49.03
TSLA,2011-06-30,58.171
TSLA,2011-09-30,57.666
TSLA,2011-12-31,39.375
TSLA,2012-03-31,30.167
TSLA,2012-06-30,26.653
TSLA,2012-09-30,50.104
TSLA,2012-12-31,306.332
TSLA,2013-03-31,561.792
TSLA,2013-06-30,405.139
TSLA,2013-09-30,431.346
TSLA,2013-12-31,615.219
TSLA,2014-03-31,620.542
TSLA,2014-06-30,769.349
TSLA,2014-09-30,851.804
TSLA,2014-12-31,956.661
TSLA,2015-03-31,939.88
TSLA,2015-06-30,954.976
TSLA,2015-09-30,936.789
TSLA,2015-12-31,1214.379
TSLA,2016-03-31,1147.048
TSLA,2016-06-30,1270.017
TSLA,2016-09-30,2298.436
TSLA,2016-12-31,2284.631
TSLA,2017-03-31,2696.27
TSLA,2017-06-30,2789.557
HPQ,2010-01-31,31177.0
HPQ,2010-04-30,30849.0
HPQ,2010-07-31,30729.0
HPQ,2010-10-31,33278.0
HPQ,2011-01-31,32302.0
HPQ,2011-04-30,31632.0
HPQ,2011-07-31,31189.0
HPQ,2011-10-31,32122.0
HPQ,2012-01-31,30036.0
HPQ,2012-04-30,30693.0
HPQ,2012-07-31,29669.0
HPQ,2012-10-31,29959.0
HPQ,2013-01-31,28359.0
HPQ,2013-04-30,27582.0
HPQ,2013-07-31,27226.0
HPQ,2013-10-31,29131.0
HPQ,2014-01-31,28154.0
HPQ,2014-04-30,27309.0
HPQ,2014-07-31,27585.0
HPQ,2014-10-31,28406.0
HPQ,2015-01-31,13858.0
HPQ,2015-04-30,12977.0
HPQ,2015-07-31,12362.0
HPQ,2015-10-31,12266.0
HPQ,2016-01-31,12246.0
HPQ,2016-04-30,11588.0
HPQ,2016-07-31,11892.0
HPQ,2016-10-31,12512.0
HPQ,2017-01-31,12684.0
HPQ,2017-04-30,12385.0
HPQ,2017-07-31,13060.0
LMT,2010-03-28,10337.0
LMT,2010-06-27,11280.0
LMT,2010-09-26,11343.0
LMT,2010-12-31,12761.0
LMT,2011-03-27,10626.0
LMT,2011-06-26,11543.0
LMT,2011-09-25,12119.0
LMT,2011-12-31,12211.0
LMT,2012-03-25,11293.0
LMT,2012-06-24,11921.0
LMT,2012-09-30,11869.0
LMT,2012-12-31,12099.0
LMT,2013-03-31,11070.0
LMT,2013-06-30,11408.0
LMT,2013-09-29,11347.0
LMT,2013-12-31,11533.0
LMT,2014-03-31,10650.0
LMT,2014-06-29,11306.0
LMT,2014-09-28,11114.0
LMT,2014-12-31,12530.0
LMT,2015-03-29,10111.0
LMT,2015-06-28,11643.0
LMT,2015-09-27,10060.0
LMT,2015-12-31,11520.0
LMT,2016-03-27,10368.0
LMT,2016-06-26,11577.0
LMT,2016-09-25,11551.0
LMT,2016-12-31,13752.0
LMT,2017-03-26,11057.0
LMT,2017-06-25,12685.0
HXL,2010-03-31,263.0
HXL,2010-06-30,305.1
HXL,2010-09-30,294.5
HXL,2010-12-31,311.0
HXL,2011-03-31,331.6
HXL,2011-06-30,353.7
HXL,2011-09-30,351.8
HXL,2011-12-31,355.3
HXL,2012-03-31,400.1
HXL,2012-06-30,399.2
HXL,2012-09-30,391.6
HXL,2012-12-31,387.3
HXL,2013-03-31,416.5
HXL,2013-06-30,422.6
HXL,2013-09-30,412.3
HXL,2013-12-31,426.8
HXL,2014-03-31,461.7
HXL,2014-06-30,470.1
HXL,2014-09-30,451.9
HXL,2014-12-31,471.8
HXL,2015-03-31,471.8
HXL,2015-06-30,475.7
HXL,2015-09-30,448.8
HXL,2015-12-31,464.9
HXL,2016-03-31,497.7
HXL,2016-06-30,522.6
HXL,2016-09-30,500.5
HXL,2016-12-31,483.5
HXL,2017-03-31,478.8
HXL,2017-06-30,491.3
ADBE,2010-03-05,858.7
ADBE,2010-06-04,943.035
ADBE,2010-09-03,990.319
ADBE,2010-12-03,1007.946
ADBE,2011-03-04,1027.706
ADBE,2011-06-03,1023.179
ADBE,2011-09-02,1013.212
ADBE,2011-12-02,1152.161
ADBE,2012-03-02,1045.22
ADBE,2012-06-01,1124.449
ADBE,2012-08-31,1080.58
ADBE,2012-11-30,1153.428
ADBE,2013-03-01,1007.873
ADBE,2013-05-31,1010.549
ADBE,2013-08-30,995.119
ADBE,2013-11-29,1041.699
ADBE,2014-02-28,1000.12
ADBE,2014-05-30,1068.208
ADBE,2014-08-29,1005.409
ADBE,2014-11-28,1073.328
ADBE,2015-02-27,1109.181
ADBE,2015-05-29,1162.158
ADBE,2015-08-28,1217.768
ADBE,2015-11-27,1306.404
ADBE,2016-03-04,1383.335
ADBE,2016-06-03,1398.709
ADBE,2016-09-02,1463.967
ADBE,2016-12-02,1608.419
ADBE,2017-03-03,1681.646
ADBE,2017-06-02,1772.19
ADBE,2017-09-01,1841.074
ONVO,2011-03-31,0.0
ONVO,2012-03-31,0.12
ONVO,2012-06-30,0.259
ONVO,2012-09-30,0.469
ONVO,2012-12-31,0.3488
ONVO,2013-03-31,0.215
ONVO,2013-06-30,0.106
ONVO,2013-09-30,0.023
ONVO,2013-12-31,0.135
ONVO,2014-03-31,0.115
ONVO,2014-06-30,0.099
ONVO,2014-09-30,0.05
ONVO,2014-12-31,0.155
ONVO,2015-03-31,0.267
ONVO,2015-06-30,0.306
ONVO,2015-09-30,0.301
ONVO,2015-12-31,0.328
ONVO,2016-03-31,0.548
ONVO,2016-06-30,0.891
ONVO,2016-09-30,1.376
ONVO,2016-12-31,1.151
ONVO,2017-03-31,0.812
ONVO,2017-06-30,0.99
SGYP,2010-03-31,0.0
SGYP,2010-06-30,0.0
SGYP,2010-09-30,0.0
SGYP,2010-12-31,0.0
SGYP,2011-03-31,0.0
SGYP,2011-06-30,0.0
SGYP,2011-09-30,0.0
SGYP,2011-12-31,0.0
SGYP,2012-03-31,0.0
SGYP,2012-06-30,0.0
SGYP,2012-09-30,0.0
SGYP,2012-12-31,0.0
SGYP,2013-03-31,0.0
SGYP,2013-06-30,0.0
SGYP,2013-09-30,0.0
SGYP,2013-12-31,0.0
SGYP,2014-03-31,0.0
SGYP,2014-06-30,0.0
SGYP,2014-09-30,0.0
SGYP,2014-12-31,0.0
SGYP,2015-03-31,0.0
SGYP,2015-06-30,0.0
SGYP,2015-09-30,0.0
SGYP,2015-12-31,0.0
SGYP,2016-03-31,0.0
SGYP,2016-06-30,0.0
SGYP,2016-09-30,0.0
SGYP,2016-12-31,0.0
SGYP,2017-03-31,0.098
SGYP,2017-06-30,2.314
VGR,2010-03-31,110.894
VGR,2010-06-30,133.243
VGR,2010-09-30,144.711
VGR,2010-12-31,136.113
VGR,2011-03-31,132.744
VGR,2011-06-30,148.246
VGR,2011-09-30,147.522
VGR,2011-12-31,151.903
VGR,2012-03-31,135.681
VGR,2012-06-30,145.627
VGR,2012-09-30,146.394
VGR,2012-12-31,148.817
VGR,2013-03-31,137.258
VGR,2013-06-30,136.524
VGR,2013-09-30,156.154
VGR,2013-12-31,181.753
VGR,2014-03-31,244.823
VGR,2014-06-30,296.918
VGR,2014-09-30,304.553
VGR,2014-12-31,298.938
VGR,2015-03-31,263.401
VGR,2015-06-30,307.261
VGR,2015-09-30,337.161
VGR,2015-12-31,309.727
VGR,2016-03-31,289.954
VGR,2016-06-30,331.412
VGR,2016-09-30,343.08
VGR,2016-12-31,300.523
VGR,2017-03-31,305.84
VGR,2017-06-30,356.795
MGA,2010-03-31,5350.0
MGA,2010-06-30,5898.0
MGA,2010-09-30,5778.0
MGA,2010-12-31,6439.0
MGA,2011-03-31,7189.0
MGA,2011-06-30,7338.0
MGA,2011-09-30,6970.0
MGA,2011-12-31,7251.0
MGA,2012-03-31,7666.0
MGA,2012-06-30,7727.0
MGA,2012-09-30,7411.0
MGA,2012-12-31,8033.0
MGA,2013-03-31,8361.0
MGA,2013-06-30,8962.0
MGA,2013-09-30,8338.0
MGA,2013-12-31,9174.0
MGA,2014-03-31,8961.0
MGA,2014-06-30,8911.0
MGA,2014-09-30,8247.0
MGA,2014-12-31,8790.0
MGA,2015-03-31,7772.0
MGA,2015-06-30,8133.0
MGA,2015-09-30,7661.0
MGA,2015-12-31,8568.0
MGA,2016-03-31,8900.0
MGA,2016-06-30,9443.0
MGA,2016-09-30,8849.0
MGA,2016-12-31,9253.0
MGA,2017-03-31,9372.0
MGA,2017-06-30,9684.0
